type;title;director;country;release_year;cast;
Movie;Dick Johnson Is Dead;Kirsten Johnson;United States;2020;;
TV Show;Blood & Water;;South Africa;2021;Ama Qamata.Khosi Ngema.Gail Mabalane.Thabang Molaba.Dillon Windvogel.Natasha Thahane.Arno Greeff.Xolile Tshabalala.Getmore Sithole.Cindy Mahlangu.Ryle De Morny.Greteli Fincham.Sello Maake Ka-Ncube.Odwa Gwanya.Mekaila Mathys.Sandi Schultz.Duane Williams.Shamilla Miller.Patrick Mofokeng;
TV Show;Ganglands;Julien Leclercq;;2021;Sami Bouajila.Tracy Gotoas.Samuel Jouy.Nabiha Akkari.Sofia Lesaffre.Salim Kechiouche.Noureddine Farihi.Geert Van Rampelberg.Bakary Diombera;
TV Show;Jailbirds New Orleans;;;2021;;
TV Show;Kota Factory;;India;2021;05.ur More.Jitendra Kumar.Ranjan Raj.Alam Khan.Ahsaas Channa.Revathi Pillai.Urvi Singh.Arun Kumar;
TV Show;Midnight Mass;Mike Flanagan;;2021;Kate Siegel.Zach Gilford.Hamish Linklater.Henry Thomas.Kristin Lehman.Samantha Sloyan.Igby Rigney.Rahul Kohli.Annarah Cymone.Annabeth Gish.Alex Essoe.Rahul Abburi.Matt Biedel.Michael Trucco.Crystal Balint.Louis Oliver;
Movie;My Little Pony: A New Generation;Robert Cullen.José Luis Ucha;;2021;Vanessa Hudgens.Kimiko Glenn.James Marsden.Sofia Carson.Liza Koshy.Ken Jeong.Elizabeth Perkins.Jane Krakowski.Michael McKean.Phil LaMarr;
Movie;Sankofa;Haile Gerima;United States.Ghana.Burkina Faso.United Kingdom.Germany.Ethiopia;1993;Kofi Ghanaba.Oyafunmike Ogunlano.Alexandra Duah.Nick Medley.Mutabaruka.Afemo Omilami.Reggie Carter.Mzuri;
TV Show;The Great British Baking Show;Andy Devonshire;United Kingdom;2021;Mel Giedroyc.Sue Perkins.Mary Berry.Paul Hollywood;
Movie;The Starling;Theodore Melfi;United States;2021;Melissa McCarthy.Chris O'Dowd.Kevin Kline.Timothy Olyphant.Daveed Diggs.Skyler Gisondo.Laura Harrier.Rosalind Chao.Kimberly Quinn.Loretta Devine.Ravi Kapoor;
TV Show;Vendetta: Truth.Lies and The Mafia;;;2021;;
TV Show;Bangkok Breaking;Kongkiat Komesiri;;2021;Sukollawat Kanarot.Sushar Manaying.Pavarit Mongkolpisit.Sahajak Boonthanakit.Suthipongse Thatphithakkul.Bhasaworn Bawronkirati.Daweerit Chullasapya.Waratthaya Wongchayaporn.Kittiphoom Wongpentak.Abhicha Thanachanun.Nophand Boonyai.Kittipong Khamsat.Arisara Wongchalee.Jaytiya Naiwattanakul.Pantipa Arunwattanachai.Panupan Jantanawong.Kungtap Saelim.Phumphat Chartsuriyakiat.Issara Veranitinunt.Keerati Sivakuae.Panjai Sirisuwan.Supranee Charoenpol.Suda Chuenban.Visaka Banhansupavat.Pitchatorn Santinatornkul;
Movie;Je Suis Karl;Christian Schwochow;Germany.Czech Republic;2021;Luna Wedler.Jannis Niewöhner.Milan Peschel.Edin Hasanović.Anna Fialová.Marlon Boess.Victor Boccard.Fleur Geffrier.Aziz Dyab.Mélanie Fouché.Elizaveta Maximová;
Movie;Confessions of an Invisible Girl;Bruno Garotti;;2021;Klara Castanho.Lucca Picon.Júlia Gomes.Marcus Bessa.Kiria Malheiros.Fernanda Concon.Gabriel Lima.Caio Cabral.Leonardo Cidade.Jade Cardozo;
TV Show;Crime Stories: India Detectives;;;2021;;
TV Show;Dear White People;;United States;2021;Logan Browning.Brandon P.Bell.DeRon Horton.Antoinette Robertson.John Patrick Amedori.Ashley Blaine Featherson.Marque Richardson.Giancarlo Esposito;
Movie;Europe's Most Dangerous Man: Otto Skorzeny in Spain;Pedro de Echave García.Pablo Azorín Williams;;2020;;
TV Show;Falsa identidad;;Mexico;2020;Luis Ernesto Franco.Camila Sodi.Sergio Goyri.Samadhi Zendejas.Eduardo Yáñez.Sonya Smith.Alejandro Camacho.Azela Robinson.Uriel del Toro.Géraldine Bazán.Gabriela Roel.Marcus Ornellas;
